race,age
white,58
hispanic,46
white,47
white,34
white,47
hispanic,46
hispanic,38
black,41
white,54
hispanic,55
black,50
hispanic,57
hispanic,50
black,53
hispanic,51
black,55
hispanic,41
hispanic,65
black,44
white,53
white,49
white,53
hispanic,43
hispanic,46
white,37
white,51
white,54
black,52
black,52
other,50
black,48
hispanic,46
white,39
white,44
white,44
white,46
white,51
other,37
white,59
white,52
white,44
black,46
white,56
other,47
asians,42
white,48
white,50
white,53
hispanic,51
black,49
white,49
asians,40
white,44
other,41
hispanic,49
other,55
black,50
hispanic,46
white,42
hispanic,40
white,47
hispanic,47
white,48
asians,51
white,48
white,50
white,47
other,50
white,43
white,42
hispanic,41
white,47
hispanic,43
black,49
black,38
hispanic,42
asians,41
hispanic,54
white,45
hispanic,38
white,53
hispanic,44
white,59
white,44
hispanic,46
hispanic,46
white,43
white,51
hispanic,47
other,50
white,45
white,49
white,50
white,39
hispanic,55
white,53
white,44
hispanic,56
white,55
hispanic,42
other,47
white,55
black,46
white,43
white,51
white,52
white,41
hispanic,38
white,60
white,45
hispanic,36
white,40
black,50
other,48
white,45
other,51
hispanic,40
black,49
white,49
hispanic,58
black,49
white,47
white,47
other,54
white,50
hispanic,37
black,51
hispanic,67
white,55
hispanic,50
white,54
white,46
asians,43
black,51
white,47
white,38
black,41
hispanic,52
white,47
white,46
white,59
white,48
white,56
hispanic,39
asians,47
hispanic,45
white,48
white,50
white,53
white,52
white,45
black,48
hispanic,58
hispanic,55
hispanic,38
hispanic,44
white,54
white,50
white,41
white,40
white,48
hispanic,38
black,53
hispanic,48
white,48
black,47
hispanic,58
hispanic,42
white,45
hispanic,53
white,55
white,51
other,51
hispanic,48
white,50
asians,48
black,44
white,43
hispanic,45
hispanic,48
white,63
white,47
black,36
other,42
white,54
white,46
white,48
white,47
white,46
hispanic,45
white,49
white,52
white,41
white,50
white,48
white,46
white,49
other,42
white,53
white,49
white,47
asians,53
white,48
white,48
hispanic,46
white,50
hispanic,50
black,50
black,47
white,42
white,48
white,50
hispanic,42
hispanic,46
black,60
asians,45
black,46
hispanic,40
white,47
white,48
white,40
white,50
hispanic,44
white,49
other,51
black,45
black,44
white,45
black,62
hispanic,49
hispanic,50
asians,47
hispanic,46
white,55
white,51
white,48
black,39
hispanic,46
hispanic,44
hispanic,47
white,53
hispanic,41
white,41
white,51
black,44
hispanic,54
black,46
white,48
black,48
hispanic,48
black,60
white,39
black,48
white,44
white,55
hispanic,46
black,45
white,45
white,60
black,49
white,54
white,48
hispanic,56
asians,47
white,61
white,55
white,35
white,53
white,46
black,47
white,46
white,37
white,42
white,63
white,48
hispanic,52
white,50
hispanic,46
white,36
white,47
black,42
hispanic,52
hispanic,49
white,49
white,52
white,48
hispanic,42
hispanic,43
other,46
white,51
white,55
white,50
white,45
white,56
white,47
hispanic,47
hispanic,40
white,53
hispanic,47
white,51
white,59
white,40
white,49
white,46
black,43
white,45
black,52
hispanic,46
white,46
black,45
asians,36
black,60
white,45
white,40
white,46
white,41
white,40
black,45
hispanic,44
white,49
hispanic,38
white,53
asians,51
white,45
white,39
white,49
hispanic,49
hispanic,50
white,48
asians,43
white,48
black,50
white,59
white,53
white,51
hispanic,48
asians,49
hispanic,47
white,59
black,53
white,33
black,38
hispanic,49
black,44
white,46
hispanic,42
hispanic,47
hispanic,48
black,46
white,41
white,43
white,46
black,49
hispanic,35
other,40
white,53
asians,56
white,51
white,55
white,49
hispanic,41
hispanic,39
hispanic,42
white,50
white,45
asians,43
black,40
white,55
white,42
hispanic,49
white,55
other,48
hispanic,43
white,43
white,51
white,45
hispanic,48
black,43
hispanic,50
white,39
other,50
white,52
white,49
black,54
white,51
white,47
hispanic,42
hispanic,40
white,50
white,50
white,39
black,43
white,42
asians,47
white,44
hispanic,43
black,44
black,47
hispanic,56
hispanic,52
asians,46
white,45
white,58
hispanic,56
white,40
other,47
white,42
black,51
white,60
black,44
white,50
white,49
black,41
hispanic,38
white,54
white,50
asians,58
white,46
white,42
black,52
hispanic,44
black,47
hispanic,37
asians,42
white,44
hispanic,51
white,58
asians,51
white,40
asians,50
hispanic,40
white,45
hispanic,58
hispanic,46
hispanic,45
white,34
white,53
white,45
